allDate,avgTemp,eU,MonMed,classSession,dayType,season
9/1/2010 12:00,89.5,9890,9220,1,wk,Fall
9/2/2010 12:00,87,9900,9220,1,wk,Fall
9/3/2010 12:00,78,8960,9220,1,wk,Fall
9/4/2010 12:00,82.5,7320,9220,1,wknd,Fall
9/5/2010 12:00,81.5,7460,9220,1,wknd,Fall
9/6/2010 12:00,82.5,7460,9220,1,wk,Fall
9/7/2010 12:00,75.5,9100,9220,1,wk,Fall
9/8/2010 12:00,80.5,9300,9220,1,wk,Fall
9/9/2010 12:00,84.5,9420,9220,1,wk,Fall
9/10/2010 12:00,85,9030,9220,1,wk,Fall
9/11/2010 12:00,85.5,7480,9220,1,wknd,Fall
9/12/2010 12:00,85,7770,9220,1,wknd,Fall
9/13/2010 12:00,84.5,9380,9220,1,wk,Fall
9/14/2010 12:00,85.5,9580,9220,1,wk,Fall
9/15/2010 12:00,85.5,9680,9220,1,wk,Fall
9/16/2010 12:00,83.5,9480,9220,1,wk,Fall
9/17/2010 12:00,83,9140,9220,1,wk,Fall
9/18/2010 12:00,80.5,7560,9220,1,wknd,Fall
9/19/2010 12:00,77.5,7640,9220,1,wknd,Fall
9/20/2010 12:00,76,9370,9220,1,wk,Fall
9/21/2010 12:00,77,9630,9220,1,wk,Fall
9/22/2010 12:00,80,9630,9220,1,wk,Fall
9/23/2010 12:00,82.5,9910,9220,1,wk,Fall
9/24/2010 12:00,82.5,9400,9220,1,wk,Fall
9/25/2010 12:00,82.5,7820,9220,1,wknd,Fall
9/26/2010 12:00,74.5,7890,9220,1,wknd,Fall
9/27/2010 12:00,68,9320,9220,1,wk,Fall
9/28/2010 12:00,71,8270,9220,1,wk,Fall
9/29/2010 12:00,75.5,9610,9220,1,wk,Fall
9/30/2010 12:00,74.5,9720,9220,1,wk,Fall
10/1/2010 12:00,76.5,9250,9250,1,wk,Fall
10/2/2010 12:00,75,7640,9250,1,wknd,Fall
10/3/2010 12:00,69.5,7830,9250,1,wknd,Fall
10/4/2010 12:00,64.5,9180,9250,1,wk,Fall
10/5/2010 12:00,64.5,9370,9250,1,wk,Fall
10/6/2010 12:00,66,9370,9250,1,wk,Fall
