allDate,prevDay,prevWeek,avgTemp,wF,MonMed,classSession,dayType,season
1/14/2009 0:00,NaN,NaN,47,7.192282399,10.7884236,0,wk,Winter
1/15/2009 0:00,7.192282399,NaN,46,6.81374122,10.7884236,0,wk,Winter
1/16/2009 0:00,6.81374122,NaN,41.5,7.570823578,10.7884236,0,wk,Winter
1/17/2009 0:00,7.570823578,NaN,57.5,5.678117684,10.7884236,0,wknd,Winter
1/18/2009 0:00,5.678117684,NaN,61,6.435200042,10.7884236,0,wknd,Winter
1/19/2009 0:00,6.435200042,NaN,58,9.084988294,10.7884236,0,wk,Winter
1/20/2009 0:00,9.084988294,NaN,50,14.3845648,10.7884236,1,wk,Winter
1/21/2009 0:00,14.3845648,7.192282399,53.5,15.14164716,10.7884236,1,wk,Winter
1/22/2009 0:00,15.14164716,6.81374122,61,14.00602362,10.7884236,1,wk,Winter
1/23/2009 0:00,14.00602362,7.570823578,68,12.4918589,10.7884236,1,wk,Winter
1/24/2009 0:00,12.4918589,5.678117684,50.5,6.81374122,10.7884236,1,wknd,Winter
1/25/2009 0:00,6.81374122,6.435200042,48.5,8.327905936,10.7884236,1,wknd,Winter
1/26/2009 0:00,8.327905936,9.084988294,61.5,14.00602362,10.7884236,1,wk,Winter
1/27/2009 0:00,14.00602362,14.3845648,49.5,14.3845648,10.7884236,1,wk,Winter
1/28/2009 0:00,14.3845648,15.14164716,40,15.52018834,10.7884236,1,wk,Winter
1/29/2009 0:00,15.52018834,14.00602362,43,15.52018834,10.7884236,1,wk,Winter
1/30/2009 0:00,15.52018834,12.4918589,50.5,14.76310598,10.7884236,1,wk,Winter
1/31/2009 0:00,14.76310598,6.81374122,53.5,9.084988294,10.7884236,1,wknd,Winter
2/1/2009 0:00,9.084988294,8.327905936,61.5,10.22061183,14.76310598,1,wknd,Winter
2/2/2009 0:00,10.22061183,14.00602362,50.5,14.00602362,14.76310598,1,wk,Winter
2/3/2009 0:00,14.00602362,14.3845648,53.5,15.14164716,14.76310598,1,wk,Winter
2/4/2009 0:00,15.14164716,15.52018834,54,15.89872951,14.76310598,1,wk,Winter
2/5/2009 0:00,15.89872951,15.52018834,60.5,15.52018834,14.76310598,1,wk,Winter
2/6/2009 0:00,15.52018834,14.76310598,66.5,13.62748244,14.76310598,1,wk,Winter
2/7/2009 0:00,13.62748244,9.084988294,69.5,7.192282399,14.76310598,1,wknd,Winter
2/8/2009 0:00,7.192282399,10.22061183,66.5,7.949364757,14.76310598,1,wknd,Winter
2/9/2009 0:00,7.949364757,14.00602362,64.5,15.14164716,14.76310598,1,wk,Winter
2/10/2009 0:00,15.14164716,15.14164716,64.5,14.3845648,14.76310598,1,wk,Winter
2/11/2009 0:00,14.3845648,15.89872951,61.5,15.14164716,14.76310598,1,wk,Winter
2/12/2009 0:00,15.14164716,15.52018834,59.5,16.27727069,14.76310598,1,wk,Winter
2/13/2009 0:00,16.27727069,13.62748244,70,13.24894126,14.76310598,1,wk,Winter
